,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,LCUE ($/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($)
0,0.0,1.0,9.0,33.0,8.91,32.00060850376143,0.0,2.291,0.048,0.016,1.0,9863.743,153.955,4866.785,4996.957,0.0,0.0,9401.135,,0.0,21534.7,21534.7,20400.0,300.0,834.7,0.0,0.0,0.0,0.0
0,1.0,2.0,10.0,42.0,9.9,40.80814176620762,0.0,1.365,0.047,0.019,1.0,11847.74,224.05,5888.449,5959.291,0.0,0.0,10255.472,,0.0,5287.35,5287.35,4176.14,270.0,841.21,0.0,0.0,0.0,0.0
0,2.0,3.0,13.0,47.0,12.87,45.59257409825656,0.0,0.47,0.048,0.015,1.0,14249.476,213.06,7212.347,7037.13,0.0,0.0,11226.678,,0.0,4817.04,4817.04,3677.06,324.0,815.98,0.0,0.0,0.0,0.0
0,3.0,4.0,15.0,60.0,14.85,58.277119760486464,0.0,0.446,0.05,0.019,1.0,17948.044,336.742,9333.643,8614.401,0.0,0.0,12835.52,,0.0,5921.87,5921.87,4715.23,364.5,842.14,0.0,0.0,0.0,0.0
0,4.0,5.0,20.0,66.0,19.8,63.984501570359015,0.0,0.414,0.049,0.014,1.0,21357.341,308.567,11279.849,10077.492,0.0,0.0,13906.649,,0.0,5137.14,5137.14,3988.12,328.05,820.96,0.0,0.0,0.0,0.0
0,5.0,6.0,22.0,77.0,21.78,74.70502174370927,0.0,0.336,0.048,0.018,1.0,24204.188,438.578,12729.297,11474.891,0.0,0.0,14327.914,,0.0,4358.78,4358.78,3246.13,295.25,817.41,0.0,0.0,0.0,0.0
0,6.0,7.0,27.0,88.0,26.73,85.27452131983225,0.0,0.312,0.05,0.012,1.0,29391.434,351.392,15764.041,13627.393,0.0,0.0,15818.223,,0.0,5053.84,5053.84,3866.03,372.01,815.8,0.0,0.0,0.0,0.0
0,7.0,8.0,32.0,105.0,31.68,101.90220970329231,0.0,0.324,0.05,0.018,1.0,33544.474,619.368,18055.522,15488.951,0.0,0.0,16399.368,,0.0,5377.15,5377.15,4205.25,334.81,837.09,0.0,0.0,0.0,0.0
0,8.0,9.0,37.0,120.0,36.63,116.44322559315283,0.0,0.297,0.05,0.021,1.0,38805.628,802.37,21021.756,17783.872,0.0,0.0,17260.04,,0.0,4628.91,4628.91,3445.67,344.37,838.87,0.0,0.0,0.0,0.0
0,9.0,10.0,41.0,138.0,40.589999999999996,133.900401318555,0.0,0.251,0.05,0.02,1.0,45119.927,912.705,24621.934,20497.993,0.0,0.0,18235.515,,0.0,4282.75,4282.75,3090.55,348.68,843.52,0.0,0.0,0.0,0.0
0,10.0,11.0,47.0,155.0,46.53,150.23051974236392,0.0,0.227,0.049,0.013,1.0,52263.785,703.869,28416.384,23847.401,0.0,0.0,19200.555,,0.0,4208.87,4208.87,3019.79,348.68,840.4,0.0,0.0,0.0,0.0
0,11.0,12.0,52.0,178.0,51.48,172.54696327868675,0.0,0.212,0.049,0.014,1.0,60247.138,836.587,32981.955,27265.184,0.0,0.0,20121.965,,0.0,4111.88,4111.88,2917.43,345.19,849.26,0.0,0.0,0.0,0.0
